closetCleaner Report:
=====================

                  Name |   Count |          Location |                                                 Long Name | 
---------------------- | ------- | ----------------- | --------------------------------------------------------- | 
            Pan's Horn |       0 |         Inventory |                                                Pan's horn | 
        Aliyat Chakram |       0 |          Wardrobe |                                            aliyat chakram | 
          Tpl. Hose +1 |       0 |              Sack |                                            temple hose +1 | 
           Nibiru Harp |       0 |         Inventory |                                               nibiru harp | 
       Crepe B. Helene |       0 |              Case |                                        crepe belle helene | 
               Diorite |       0 |              Case |                                          chunk of diorite | 
       Thur. Tights +1 |       0 |            Safe 2 |                                      Thurandaut tights +1 | 
     Claidheamh Soluis |       0 |            Locker |                                         Claidheamh Soluis | 
         Eschalixir +2 |       0 |              Case |                                             eschalixir +2 | 
      Riftborn Boulder |       0 |         Inventory |                                          riftborn boulder | 
           Stygian Ash |       0 |         Inventory |                                      pinch of Stygian ash | 
        Befouled Water |       0 |         Inventory |                                    vial of befouled water | 
                 Umaru |       0 |           Satchel |                                                     Umaru | 
        Apollo's Flute |       0 |         Inventory |                                            apollo's flute | 
               Vihuela |       0 |         Inventory |                                                   vihuela | 
      H. Kindred Crest |       0 |         Inventory |                                      High Kindred's crest | 
      Plunderer's Vest |       0 |           Satchel |                                          plunderer's vest | 
           Ogma's cape |       0 |            Safe 2 |                                               Ogma's cape | 
     Ravager's Mask +2 |       0 |              Case |                                         ravager's mask +2 | 
       Enticer's Pants |       0 |              Sack |                                           enticer's pants | 
      Convoker's Spats |       0 |              Sack |                                          convoker's spats | 
        Goetia Coat +2 |       0 |              Sack |                                            goetia coat +2 | 
          Rounsey Wand |       0 |          Wardrobe |                                              rounsey wand | 
                Syrinx |       0 |         Inventory |                                                    syrinx | 
      Savant's Gown +2 |       0 |           Satchel |                                          savant's gown +2 | 
        Tantra Hose +2 |       0 |              Sack |                                            tantra hose +2 | 
     Goet. Chausses +2 |       0 |            Locker |                                        goetia chausses +2 | 
      Snowdim Stone +2 |       0 |         Inventory |                                          snowdim stone +2 | 
             Langeleik |       0 |         Inventory |                                                 langeleik | 
       Ptero. Brais +1 |       0 |            Safe 2 |                                      pteroslaver brais +1 | 
      Impassive Mantle |       0 |              Sack |                                          impassive mantle | 
        Belenus's Cape |       0 |            Safe 2 |                                            Belenus's cape | 
               Kanaria |       0 |              Safe |                                                   Kanaria | 
            Echo Drops |       0 |         Inventory |                                       flask of echo drops | 
          Immani. Hide |       0 |         Inventory |                                       Immanibugard's hide | 
       Nesanica Torque |       0 |        Wardrobe 2 |                                           nesanica torque | 
    Scholar's Pants +1 |       0 |           Satchel |                                        scholar's pants +1 | 
     Sylvan Bragues +1 |       0 |              Case |                                         sylvan bragues +1 | 
      Hlr. Pantaln. +1 |       0 |           Satchel |                                    healer's pantaloons +1 | 
      Cantabank's Horn |       0 |         Inventory |                                          cantabank's horn | 
         String Torque |       0 |            Safe 2 |                                             string torque | 
               Hatchet |       0 |              Case |                                                   hatchet | 
           Tant. Broth |       0 |            Locker |                                  jug of tantalizing broth | 
             Shark Gun |       0 |            Safe 2 |                                                 shark gun | 
      Deviant Necklace |       0 |              Case |                                          deviant necklace | 
          Taeon Tights |       0 |           Satchel |                                              taeon tights | 
        Fu. Bandeau +1 |       1 |         NOT FOUND |                                        futhark bandeau +1 | 
         Unkai Kote +2 |       1 |           Satchel |                                             unkai kote +2 | 
           Shadow Belt |       1 |         NOT FOUND |                                               shadow belt | 
         Shadow Mantle |       1 |         NOT FOUND |                                             shadow mantle | 
         Kemas Earring |       1 |         NOT FOUND |                                             kemas earring | 
        Wzd. Gloves +1 |       1 |            Safe 2 |                                        wizard's gloves +1 | 
          Qaaxo Tights |       1 |         NOT FOUND |                                              qaaxo tights | 
        Argute M.board |       1 |              Case |                                        argute mortarboard | 
     Miki. Breastplate |       1 |            Safe 2 |                                      mikinaak breastplate | 
      Otronif Boots +1 |       1 |         NOT FOUND |                                          otronif boots +1 | 
     Unkai Sune-Ate +2 |       1 |            Safe 2 |                                         unkai sune-ate +2 | 
        Felistris Mask |       1 |         NOT FOUND |                                            felistris mask | 
         Eminent Staff |       1 |           Satchel |                                             eminent staff | 
      Rvg. Mufflers +2 |       1 |              Sack |                                     ravager's mufflers +2 | 
        Hattori Kyahan |       1 |            Safe 2 |                                            hattori kyahan | 
         Bihu Slippers |       1 |         NOT FOUND |                                             bihu slippers | 
      Chironic Doublet |       1 |              Safe |                                          chironic doublet | 
       Azimuth Gaiters |       1 |              Sack |                                           azimuth gaiters | 
      Goetia Gloves +2 |       1 |         Inventory |                                          goetia gloves +2 | 
     Luhlaza Bazubands |       1 |              Sack |                                         luhlaza bazubands | 
      Theo. Pantaloons |       1 |         NOT FOUND |                                      theophany pantaloons | 
        Azimuth Gloves |       1 |            Safe 2 |                                            azimuth gloves | 
          Stout Bonnet |       1 |              Case |                                              stout bonnet | 
         Nukumi Ocreae |       1 |              Sack |                                             nukumi ocreae | 
          Koga Sarashi |       1 |              Safe |                                              koga sarashi | 
   Hashishin Mintan +1 |       1 |            Safe 2 |                                       hashishin mintan +1 | 
          Moepapa Ring |       1 |              Case |                                              moepapa ring | 
     Agoge Mufflers +1 |       1 |         NOT FOUND |                                         agoge mufflers +1 | 
         Key Ring Belt |       1 |        Wardrobe 2 |                                             key ring belt | 
       Nukumi Cabasset |       1 |            Safe 2 |                                           nukumi cabasset | 
       Agoge Lorica +1 |       1 |         NOT FOUND |                                           agoge lorica +1 | 
         Qaaxo Harness |       1 |         NOT FOUND |                                             qaaxo harness | 
    Anchorite's Cyclas |       1 |            Locker |                                        anchorite's cyclas | 
      Syl. Glvltte. +2 |       1 |           Satchel |                                     sylvan glovelettes +2 | 
       Geomancy Galero |       1 |              Case |                                           geomancy galero | 
      Runeist Trousers |       1 |           Satchel |                                          runeist trousers | 
      Rvg. Calligae +2 |       1 |           Satchel |                                     ravager's calligae +2 | 
         Agoge Mask +1 |       1 |         NOT FOUND |                                             agoge mask +1 | 
        Repulse Mantle |       1 |         NOT FOUND |                                            repulse mantle | 
      Charmer's Merlin |       1 |            Locker |                                          charmer's merlin | 
     Sylvan Gapette +2 |       1 |              Case |                                         sylvan gapette +2 | 
      Tantra Gloves +2 |       1 |            Locker |                                          tantra gloves +2 | 
     Tantra Gaiters +2 |       1 |            Safe 2 |                                         tantra gaiters +2 | 
     Anchorite's Crown |       1 |           Satchel |                                         anchorite's crown | 
    Brioso Slippers +1 |       1 |         Inventory |                                        brioso slippers +1 | 
           Vanya Cuffs |       1 |            Locker |                                               vanya cuffs | 
         Shadow Gorget |       1 |         NOT FOUND |                                             shadow gorget | 
       Orion Jerkin +1 |       1 |         NOT FOUND |                                           orion jerkin +1 | 
          Demon's Ring |       1 |         NOT FOUND |                                              demon's ring | 
        Izdubar Mantle |       1 |        Wardrobe 2 |                                            izdubar mantle | 
         Legato Dagger |       1 |         Inventory |                                             legato dagger | 
       Anch. Gloves +1 |       1 |         NOT FOUND |                                     anchorite's gloves +1 | 
      Hecate's Earring |       1 |         NOT FOUND |                                          Hecate's earring | 
         Iximulew Cape |       1 |         NOT FOUND |                                             iximulew cape | 
         Helios Gloves |       1 |           Satchel |                                             helios gloves | 
       Pumm. Lorica +1 |       1 |         NOT FOUND |                                      pummeler's lorica +1 | 
      Stoicheion Medal |       1 |         NOT FOUND |                                          stoicheion medal | 
      Desultor Tassets |       1 |              Case |                                          desultor tassets | 
                 Angon |       1 |              Sack |                                                     angon | 
      Hunter's Braccae |       1 |         NOT FOUND |                                          hunter's braccae | 
    Piety Duckbills +1 |       1 |         NOT FOUND |                                        piety duckbills +1 | 
        Plun. Culottes |       1 |           Satchel |                                      plunderer's culottes | 
       Hunter's Jerkin |       1 |         NOT FOUND |                                           hunter's jerkin | 
      Orion Bracers +1 |       1 |         NOT FOUND |                                          orion bracers +1 | 
       Sylvan Caban +2 |       1 |         NOT FOUND |                                           sylvan caban +2 | 
         Quiahuiz Helm |       1 |              Case |                                             quiahuiz helm | 
      Sakonji Sune-Ate |       1 |         NOT FOUND |                                          sakonji sune-ate | 
     Caller's Pgch. +2 |       1 |              Sack |                                      caller's pigaches +2 | 
        Sheltered Ring |       1 |         NOT FOUND |                                            sheltered ring | 
         Pumm. Mask +1 |       1 |         NOT FOUND |                                        pummeler's mask +1 | 
       Tamer's Earring |       1 |         NOT FOUND |                                           tamer's earring | 
        Hunter's Socks |       1 |         NOT FOUND |                                            hunter's socks | 
     Odyss. Chestplate |       1 |              Case |                                       odyssean chestplate | 
       Unkai Kabuto +2 |       1 |              Case |                                           unkai kabuto +2 | 
      Hunter's Bracers |       1 |         NOT FOUND |                                          hunter's bracers | 
      Mochi. Hatsuburi |       1 |              Sack |                                       mochizuki hatsuburi | 
